title,genres
Belzebuth,['horror']
Ben & Jody,"['action', 'adventure', 'drama', 'fantasy', 'thriller']"
Ben Is Back,['drama']
Ben-Hur,"['action', 'drama', 'romance']"
Benedetta,"['biography', 'drama', 'romance']"
Bentornato presidente,['comedy']
Bet on Friendship,['comedy']
Better Call Saul,"['crime', 'drama']"
Betty en NY,['comedy']
Beyblade Burst Surge,"['animation', 'action', 'adventure', 'fantasy', 'thriller']"
Bhool Bhulaiyaa 2,"['comedy', 'drama', 'horror']"
Big Momma's House,"['action', 'comedy', 'crime']"
Big Momma's House 2,"['comedy', 'crime']"
"Big Mommas: Like Father, Like Son","['action', 'comedy', 'crime']"
Big Mouth,"['animation', 'comedy', 'romance']"
Big Timber,['reality-tv']
Bigbug,"['documentary', 'adventure', 'drama']"
Bigfoot Junior,"['animation', 'adventure', 'comedy', 'family', 'fantasy']"
Bikers Kental 2,"['action', 'adventure', 'comedy', 'crime', 'romance']"
Billionaire Boys Club,"['biography', 'drama', 'thriller']"
Billy Lynn's Long Halftime Walk,"['action', 'drama', 'sport', 'thriller', 'war']"
Biohackers,"['drama', 'sci-fi', 'thriller']"
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"['action', 'comedy', 'crime']"
Birth of a Beauty,"['comedy', 'romance']"
Bittersweet Sixteen,"['comedy', 'drama']"
Bize Müsaade,['comedy']
BlacKkKlansman,"['biography', 'comedy', 'crime', 'drama']"
Black & White,['crime']
Black Crab,"['action', 'adventure', 'drama', 'sci-fi', 'thriller', 'war']"
Black Dog,['horror']
Black Hawk Down,"['documentary', 'war']"
Black Island,['thriller']
Black Knight,"['short', 'drama']"
Black Lightning,"['action', 'drama', 'sci-fi']"
Black Mass,"['short', 'horror']"
Black Money,['drama']
Black Money Love,"['action', 'crime', 'drama', 'mystery', 'romance']"
Black Sails,"['action', 'adventure', 'drama']"
Black Sea,"['short', 'drama']"
Black and Blue,"['action', 'thriller']"
Blackhat,"['action', 'crime', 'thriller']"
Blacklight,"['action', 'drama', 'thriller']"
Blade Runner 2049,"['action', 'drama', 'mystery', 'sci-fi', 'thriller']"
Blade: Trinity,"['action', 'horror', 'sci-fi']"
Blanca,"['crime', 'drama']"
Blasted,"['action', 'comedy', 'sci-fi']"
Bleeding Steel,"['action', 'sci-fi', 'thriller']"
Blended,"['comedy', 'romance']"
Blind Love,['drama']
Blind Witness,"['drama', 'thriller']"
Blindspot,"['action', 'crime', 'drama', 'mystery', 'sci-fi', 'thriller']"
Bling Empire,['reality-tv']
Bliss,"['drama', 'romance', 'sci-fi']"
Blitz,"['action', 'crime', 'thriller']"
Blockers,"['comedy', 'drama']"
Blood & Water,"['drama', 'mystery']"
Blood Brother,"['action', 'crime', 'drama', 'thriller']"
Blood Diamond,"['adventure', 'drama', 'thriller']"
Blood Red Sky,"['action', 'adventure', 'drama', 'fantasy', 'horror', 'thriller']"
Blood Sisters,"['drama', 'thriller']"
Blood and Bone,"['action', 'crime', 'drama', 'sport']"
Blood and Money,"['drama', 'thriller']"
Bloodshot,"['action', 'adventure', 'sci-fi']"
Blow,"['biography', 'crime', 'drama']"
Blue Lagoon: The Awakening,"['drama', 'romance']"
Blue Story,"['crime', 'drama', 'musical']"
Blue Streak,"['action', 'comedy', 'crime', 'thriller']"
"Blue, Painful, Fragile","['adventure', 'drama']"
Blumhouse's Fantasy Island,"['fantasy', 'horror', 'mystery']"
Blumhouse's Truth or Dare: Extended Director's Cut,"['horror', 'thriller']"
"Bob Ross: Happy Accidents, Betrayal & Greed",['documentary']
Body Cam,"['action', 'adventure', 'crime', 'horror', 'mystery', 'thriller']"
Body of Lies,"['action', 'drama', 'thriller']"
Bodyguards and Assassins,"['action', 'drama', 'history']"
Bohemian Rhapsody,"['biography', 'drama', 'music']"
Boiling Point,"['drama', 'mystery']"
Bombshell,"['biography', 'drama']"
Bon Bini Holland 2,"['action', 'comedy', 'crime']"
Bonus Family,"['comedy', 'drama']"
"Boo, Bitch","['comedy', 'drama', 'fantasy']"
Boomika,['horror']
Boomika (Hindi),"['horror']"
Bordertown,"['crime', 'drama', 'mystery']"
Bordertown: The Mural Murders,"['crime', 'drama', 'mystery']"
Borgen,['drama']
Borgen - Power & Glory,['drama']
Borrego,['thriller']
Boruto: Naruto Next Generations,"['animation', 'action', 'adventure', 'comedy', 'drama', 'fantasy']"
Boss & Me,['romance']
Boss Level,"['action', 'adventure', 'comedy', 'mystery', 'sci-fi', 'thriller']"
Boy,"['comedy', 'drama']"
Boys Over Flowers,"['comedy', 'drama', 'romance']"
Boyz n the Hood,"['crime', 'drama']"
Brahms: The Boy II,"['drama', 'horror', 'mystery', 'thriller']"
Brand New Cherry Flavor,"['drama', 'horror', 'mystery', 'thriller']"
Braven,"['action', 'thriller']"
Brawl in Cell Block 99,"['action', 'crime', 'drama', 'thriller']"
Brazen,"['crime', 'drama', 'mystery', 'romance', 'thriller']"
Breaded Life,"['comedy', 'drama', 'fantasy']"
Breaking Bad,"['crime', 'drama', 'thriller']"
Breaking In,"['action', 'thriller']"
Brian Banks,"['biography', 'drama', 'sport']"
Bride Wars,['comedy']
Bridgerton,"['drama', 'history', 'romance']"
Bridget Jones's Baby,"['comedy', 'drama', 'romance']"
Brightburn,"['drama', 'horror', 'mystery', 'sci-fi']"
Britney Vs Spears,"['documentary', 'biography', 'music']"
Broken City,"['action', 'crime', 'drama', 'thriller']"
Broken Hearts Gallery,"['comedy', 'romance']"
Broken Idol: The Undoing of Diomedes Díaz,"['documentary', 'crime']"
Brooklyn Nine-Nine,"['comedy', 'crime']"
Brother,['drama']
Brother Jekwu,['comedy']
Brother in Love,"['comedy', 'family']"
Brother in Love 2,['comedy']
Brotherhood,"['crime', 'drama']"
Brothers in Brothel,['drama']
Bruised,['short']
Buba,"['comedy', 'drama']"
Bubble,"['animation', 'action', 'adventure', 'drama', 'fantasy', 'romance', 'sport']"
Budapest,['comedy']
Buddy Games,['comedy']
Bulan & Pria Terhebat,"['action', 'adventure', 'comedy', 'crime']"
Bulgasal: Immortal Souls,"['drama', 'fantasy', 'thriller']"
Bullet to the Head,"['action', 'crime', 'thriller']"
Bullsh*t The Gameshow,['game-show']
Bumblebee,"['action', 'adventure', 'sci-fi']"
Bunker: Project 12,"['action', 'adventure', 'mystery', 'sci-fi', 'thriller']"
Burlesque,"['drama', 'music', 'musical', 'romance']"
Burnt,"['short', 'comedy']"
Business Proposal,"['comedy', 'drama', 'romance']"
By Quantum Physics: A Nightlife Venture,"['action', 'comedy', 'crime', 'thriller']"
Byron Baes,['reality-tv']
CBI 5: The Brain,"['crime', 'mystery', 'thriller']"
CHIPS,"['short', 'drama']"
CODA,"['comedy', 'drama', 'music']"
Cadet 1947,"['drama', 'history', 'war']"
Café Minamdang,"['comedy', 'crime', 'drama', 'thriller']"
Café con aroma de mujer,"['drama', 'romance']"
Call My Agent Bollywood,"['comedy', 'drama']"
Camellia Sisters,['drama']
Can You Keep a Secret?,"['comedy', 'romance']"
Cape Fear,"['crime', 'thriller']"
Capernaum,['drama']
Capitani,"['crime', 'drama', 'mystery', 'thriller']"
Captain Nova,"['adventure', 'family', 'sci-fi']"
Captain Phillips,"['action', 'biography', 'crime', 'drama', 'thriller']"
Captive,['thriller']
Captive State,"['action', 'horror', 'sci-fi', 'thriller']"
Car Masters: Rust to Riches,['reality-tv']
Caramel,"['comedy', 'romance']"
Carbon,"['crime', 'thriller']"
Career Girl,"['short', 'comedy', 'drama']"
Carinha de Anjo,"['family', 'musical']"
Carriers,"['short', 'horror']"
Carrossel,"['documentary', 'short']"
Carter,"['action', 'thriller']"
Case 39,"['horror', 'mystery', 'thriller']"
Cast Away,['drama']
Castle and Castle,"['comedy', 'crime', 'drama', 'mystery', 'romance']"
Catch Me If You Can,"['short', 'action']"
Catch and Release,['short']
Catching Killers,"['documentary', 'crime', 'mystery']"
Causa justa,"['crime', 'drama', 'mystery', 'romance', 'thriller']"
Celeb Five: Behind the Curtain,"['documentary', 'comedy']"
Celebrity Ex on the Beach,['reality-tv']
Cellular,"['short', 'drama', 'sci-fi', 'thriller']"
Cem Yılmaz: Diamond Elite Platinum Plus,['comedy']
Centauro,"['animation', 'short']"
Central Intelligence,"['action', 'comedy', 'crime']"
Chandigarh Kare Aashiqui,"['comedy', 'crime', 'drama', 'romance']"
Change Days,['reality-tv']
Changeling,"['short', 'horror']"
Chaos,"['action', 'crime', 'drama', 'thriller']"
Chaos Walking,"['action', 'adventure', 'fantasy', 'sci-fi', 'western']"
Chappie,"['action', 'crime', 'drama', 'sci-fi', 'thriller']"
Charlatan,['thriller']
Charlie and the Chocolate Factory,"['short', 'musical']"
Charlie's Angels,"['action', 'adventure', 'comedy']"
Charlie's Angels: Full Throttle,"['action', 'adventure', 'comedy', 'crime']"
Charlotte's Web,"['adventure', 'comedy', 'family', 'fantasy']"
Chasing the Line,"['biography', 'drama', 'sport']"
Cheer,"['documentary', 'sport']"
Chennai Express,"['action', 'comedy', 'drama', 'romance']"
Chernobyl 1986,"['short', 'drama']"
Chestnut: Hero of Central Park,"['comedy', 'drama', 'family']"
Chica Vampiro,"['action', 'adventure', 'family', 'fantasy', 'musical']"
Chicago Fire,"['action', 'drama']"
Chicago Med,['drama']
Chicken Run,"['animation', 'adventure', 'comedy', 'drama', 'family']"
Chickenhare and the Hamster of Darkness,"['animation', 'adventure', 'comedy', 'family']"
Chief Daddy,['comedy']
Chief Daddy 2 - Going for Broke,['comedy']
Child of Kamiari Month,"['animation', 'adventure', 'drama', 'family', 'fantasy', 'mystery']"
Child's Play,"['drama', 'horror', 'sci-fi', 'thriller']"
Chiquititas,"['musical', 'family', 'comedy', 'drama']"
Choose or Die,"['drama', 'horror', 'thriller']"
